Make,Volume,Doors,Style
Honda,192.9,5,Van
Honda,106,5,SUV
Toyota,105.5,4,Sedan
Kia,96,4,Sedan
Kia,168.9,5,SUV
Nissan,116,4,Sedan
BMW,112,4,Sedan
Nissan,137,5,SUV
Ram,132.4,4,Pickup
Hyundai,113.6,4,Sedan
